Name,Model,Ex-Showroom_Price,CC,Cylinders,Fuel_Type,Ground_Clearance,Power,Torque,Type,ARAI_Certified_Mileage,Weight,BHP,Power_to_Weight,Performance_Class
Tata,Nano Genx,292667,624,2,Petrol,180,38,51,Manual,23,735,38.0,51.70068027210884,Low
Tata,Nano Genx,236447,624,2,Petrol,180,38,51,Manual,23,735,38.0,51.70068027210884,Low
Tata,Nano Genx,334768,624,2,Petrol,180,38,51,Auto,21,735,38.0,51.70068027210884,Low
Tata,Nano Genx,272223,624,2,Petrol,180,38,51,Manual,23,735,38.0,51.70068027210884,Low
Tata,Nano Genx,314815,624,2,Petrol,180,38,51,Auto,21,735,38.0,51.70068027210884,Low
Datsun,Redi-Go,279650,799,3,Petrol,185,54,72,Manual,25,800,54.0,67.5,Low
Datsun,Redi-Go,351832,799,3,Petrol,185,54,72,Manual,25,800,54.0,67.5,Low
Datsun,Redi-Go,333419,799,3,Petrol,185,54,72,Manual,25,800,54.0,67.5,Low
Datsun,Redi-Go,362000,799,3,Petrol,185,54,72,Manual,25,800,54.0,67.5,Low
Datsun,Redi-Go,390000,999,3,Petrol,185,68,91,Manual,22,800,68.0,85.0,Medium
Datsun,Redi-Go,437065,999,3,Petrol,185,68,91,Auto,23,800,68.0,85.0,Medium
Renault,Kwid,353290,799,3,Petrol,184,54,72,Manual,25,825,54.0,65.45454545454545,Low
Renault,Kwid,283290,799,3,Petrol,184,54,72,Manual,25,825,54.0,65.45454545454545,Low
Renault,Kwid,383290,799,3,Petrol,184,54,72,Manual,25,825,54.0,65.45454545454545,Low
Renault,Kwid,413290,799,3,Petrol,184,54,72,Manual,25,825,54.0,65.45454545454545,Low
Renault,Kwid,433290,999,3,Petrol,184,68,91,Manual,23,825,68.0,82.42424242424242,Medium
Renault,Kwid,454490,999,3,Petrol,184,68,91,Manual,23,825,68.0,82.42424242424242,Medium
Renault,Kwid,463290,999,3,Petrol,184,68,91,Auto,24,825,68.0,82.42424242424242,Medium
